date_time,traffic_volume,temp,rain_1h,snow_1h,clouds_all,weather_main,holiday,temperature_2m,precipitation,windspeed_10m,cloudcover,event_type,event_size,expected_attendance
2020-01-01 00:00:00,2948,261.0362016031507,0.0,0.0,45.8408325231978,Partly Cloudy,Holiday,-15.5,0.0,11.4,28,None,None,0.0
2020-01-01 01:00:00,2664,267.22783712763135,0.0,0.0,90.45546508455494,Clouds,Holiday,-14.7,0.0,10.8,62,None,None,0.0
2020-01-01 02:00:00,3157,267.70874529986366,0.0,0.0,32.20322505994098,Partly Cloudy,Holiday,-13.9,0.0,10.9,98,None,None,0.0
2020-01-01 03:00:00,3754,276.8579023679889,0.0,0.0,17.899681218576248,Clear,Holiday,-11.4,0.0,7.7,78,None,None,0.0
2020-01-01 04:00:00,3082,261.8171222551623,0.0,0.0,56.61637281662616,Partly Cloudy,Holiday,-12.2,0.0,12.7,6,None,None,0.0
2020-01-01 05:00:00,3324,267.2069299397531,0.0,0.0,69.98133779632131,Partly Cloudy,Holiday,-10.4,0.0,9.4,95,None,None,0.0
2020-01-01 06:00:00,4489,261.7125119078231,0.0,0.0,89.16264353687185,Clouds,Holiday,-10.4,0.0,13.0,98,None,None,0.0
2020-01-01 07:00:00,6842,264.5463446771664,0.0,0.0,39.29527345604994,Partly Cloudy,Holiday,-10.2,0.0,12.3,100,None,None,0.0
2020-01-01 08:00:00,6379,275.4294790935801,0.5702378194252301,0.0,54.24015425999823,Rain,Holiday,-8.0,0.0,9.0,99,None,None,0.0
2020-01-01 09:00:00,7178,261.32793782745347,0.0,0.0,18.46070228344124,Clear,Holiday,-6.7,0.0,8.6,97,None,None,0.0
2020-01-01 10:00:00,4334,269.94483106357256,0.0,0.0,33.58533269257483,Partly Cloudy,Holiday,-3.7,0.0,8.7,99,None,None,0.0
2020-01-01 11:00:00,4433,268.9741557383054,0.0,0.0,73.41376535079091,Clouds,Holiday,-1.3,0.0,9.9,100,None,None,0.0
2020-01-01 12:00:00,4134,266.88876181144235,4.3095173784513925,0.13399569191479688,90.74268068422539,Snow,Holiday,-0.4,0.0,10.6,100,None,None,0.0
2020-01-01 13:00:00,3709,269.6068020591921,0.0,0.0,28.368185231540217,Clear,Holiday,-0.3,0.0,9.3,100,None,None,0.0
2020-01-01 14:00:00,3703,261.209517033517,0.0,0.0,50.99298584485521,Partly Cloudy,Holiday,0.4,0.0,8.8,84,None,None,0.0
2020-01-01 15:00:00,4125,275.2912314822512,0.0,0.0,70.90148936832792,Clouds,Holiday,1.2,0.0,7.6,64,None,None,0.0
2020-01-01 16:00:00,6193,276.633846418851,0.0,0.0,69.61698203998313,Partly Cloudy,Holiday,0.0,0.0,8.1,97,None,None,0.0
2020-01-01 17:00:00,6615,267.24514243203,0.0,0.0,8.208580530968002,Clear,Holiday,-1.0,0.0,7.9,88,None,None,0.0
2020-01-01 18:00:00,5745,279.1251495963012,0.0,0.0,47.315123133309626,Partly Cloudy,Holiday,-1.8,0.0,8.9,33,None,None,0.0
2020-01-01 19:00:00,5235,265.01447928548384,0.0,0.0,4.2217107123217525,Clear,Holiday,-2.1,0.0,8.6,94,None,None,0.0
2020-01-01 20:00:00,3932,269.01177891251484,0.0,0.0,19.150900200633167,Clear,Holiday,-0.7,0.0,9.1,100,None,None,0.0
